junjo presents: wins the world cup,various artists,7.7
guided meditation,hurry,7.1
the impossible kid,aesop rock,8.2
egyptian lover 1983-1988,egyptian lover,8.0
nonagon infinity,king gizzard & the lizard wizard,8.0
blue wave,operators,7.5
honey,katy b,7.0
close to the noise floor - formative uk electronica 1975 - 1984,various artists,8.1
crime cutz,holy ghost!,7.0
testarossa,yoni & geti,7.2
gala,lush,8.5
views,drake,6.8
dj koze presents pampa vol. 1,various artists,7.4
the feminine: act i,anna wise,6.9
modernists,alarm will sound,7.6
sign o the times,prince,10.0
1999,prince,10.0
dirty mind,prince,10.0
controversy,prince,9.0
nocturnal koreans,wire,7.0
all jokes aside,dej loaf,7.5
asphalt for eden,dlek,7.8
interventions,horse lords,7.9
the ship,brian eno,8.0
triangle,susanna,6.4
the stone junction,audio push,7.1
lemonade,beyonc,8.5
always strive and prosper,a$ap ferg,7.3
new misery,cullen omori,6.2
double ecstasy ep,antwon,6.9
too many voices,andy stott,7.1
at last!,etta james,9.0
bergtatt,ulver,8.7
dolls of highland,kyle craft,8.1
delusions of grand fur,rogue wave,5.7
lost themes ii,john carpenter,5.6
some other time: the lost session from the black forest ,bill evans,8.4
waltzed in from the rumbling,plants and animals,6.8
blood visions,jay reatard,9.1
the future of death,primitive weapons,8.0
it kindly stopped for me,sorority noise,6.6
please be honest,guided by voices,5.9
tower of meaning,arthur russell,7.0
phases,cellars,7.0
yoyogi park,lawrence,7.9
the diary,j dilla,6.9
bis: 001-020,various artists,6.8
a sailor's guide to earth,sturgill simpson,8.0
blind spot ep,lush,7.6
become alive ,dave harrington group,6.7
iii :  (imagining the life of pablo),toyomu,6.0
sleep cycle,deakin,7.6
love letter for fire,sam beam & jesca hoop,7.5
welcome the worms ,bleached,6.9
don't look down,mr. lif,7.0
missed calls,tunji ige,6.8
singing saw,kevin morby,8.3
sorrow - a reimagining of gorecki's 3rd symphony,colin stetson,7.8
layers,royce 59,6.4
crab day,cate le bon,8.1
the hope six demolition project,pj harvey,7.6
plays the music of twin peaks,xiu xiu,7.7
year of the rabbit,eskimeaux,6.8
fever dream,ben watt,6.8
controlling body,peder mannerfelt,8.1
